"REF_DATE","GEO","DGUID","Prices","Seasonal adjustment","Estimates","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2020-04","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Intellectual property products","Dollars","81","millions","6","v62305738","1.1.1.16","30638","","","","0"
"2019-04","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Non-profit institutions serving households' gross fixed capital formation","Dollars","81","millions","6","v62305739","1.1.1.17","2084","","","","0"
"2019-07","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Non-profit institutions serving households' gross fixed capital formation","Dollars","81","millions","6","v62305739","1.1.1.17","2040","","","","0"
"2019-10","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Non-profit institutions serving households' gross fixed capital formation","Dollars","81","millions","6","v62305739","1.1.1.17","2009","","","","0"
"2020-01","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Non-profit institutions serving households' gross fixed capital formation","Dollars","81","millions","6","v62305739","1.1.1.17","2037","","","","0"
"2020-04","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Non-profit institutions serving households' gross fixed capital formation","Dollars","81","millions","6","v62305739","1.1.1.17","1949","","","","0"
"2019-04","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","General governments gross fixed capital formation","Dollars","81","millions","6","v62305740","1.1.1.18","77277","","","","0"
"2019-07","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","General governments gross fixed capital formation","Dollars","81","millions","6","v62305740","1.1.1.18","79024","","","","0"
"2019-10","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","General governments gross fixed capital formation","Dollars","81","millions","6","v62305740","1.1.1.18","78748","","","","0"
"2020-01","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","General governments gross fixed capital formation","Dollars","81","millions","6","v62305740","1.1.1.18","79720","","","","0"
"2020-04","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","General governments gross fixed capital formation","Dollars","81","millions","6","v62305740","1.1.1.18","75888","","","","0"
"2019-04","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Investment in inventories","Dollars","81","millions","6","v62305741","1.1.1.19","18781","","","","0"
"2019-07","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Investment in inventories","Dollars","81","millions","6","v62305741","1.1.1.19","8409","","","","0"
"2019-10","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Investment in inventories","Dollars","81","millions","6","v62305741","1.1.1.19","9362","","","","0"
"2020-01","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Investment in inventories","Dollars","81","millions","6","v62305741","1.1.1.19","4311","","","","0"
"2020-04","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Investment in inventories","Dollars","81","millions","6","v62305741","1.1.1.19","-37851","","","","0"
"2019-04","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Of which: business investment in inventories","Dollars","81","millions","6","v62305742","1.1.1.20","18841","","","","0"
"2019-07","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Of which: business investment in inventories","Dollars","81","millions","6","v62305742","1.1.1.20","8436","","","","0"
"2019-10","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Of which: business investment in inventories","Dollars","81","millions","6","v62305742","1.1.1.20","9295","","","","0"
"2020-01","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Of which: business investment in inventories","Dollars","81","millions","6","v62305742","1.1.1.20","4107","","","","0"
"2020-04","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Of which: business investment in inventories","Dollars","81","millions","6","v62305742","1.1.1.20","-37709","","","","0"
"2019-04","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Non-farm","Dollars","81","millions","6","v62305743","1.1.1.21","16626","","","","0"
"2019-07","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Non-farm","Dollars","81","millions","6","v62305743","1.1.1.21","5948","","","","0"
"2019-10","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Non-farm","Dollars","81","millions","6","v62305743","1.1.1.21","6431","","","","0"
"2020-01","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Non-farm","Dollars","81","millions","6","v62305743","1.1.1.21","3121","","","","0"
"2020-04","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Non-farm","Dollars","81","millions","6","v62305743","1.1.1.21","-40196","","","","0"
"2019-04","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Farm","Dollars","81","millions","6","v62305744","1.1.1.22","2210","","","","0"
"2019-07","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Farm","Dollars","81","millions","6","v62305744","1.1.1.22","2514","","","","0"
